,Timestamp,System ON,System ON Timestamps,System OFF Timestamps,Temperature (°C),Solar Panels Energy Output (W),Power Consumption (kW),Energy Stored in Batteries (kWh),Inverter Efficiency (%),System Load (kW),System Fault Alerts,Voltage (V),Current (A),Power Factor,Dust and Dirt Accumulation (g/m²),Battery Low Flag,Battery Full Flag,Customer Profile,User Coordinates,Solar Panels Type,Solar Panels Configuration,Depth of Discharge,Battery Capacity (Wh),Inverter Capacity (kW),Battery Technology,Solar Irradiance (W/m²)
10215,05/12/2024 22:30,False,,05/12/2024 22:30,33.29140711,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.475,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10216,05/12/2024 22:45,False,,05/12/2024 22:45,34.9132053,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.476,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10217,05/12/2024 23:00,False,,05/12/2024 23:00,33.91831056,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.477,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10218,05/12/2024 23:15,False,,05/12/2024 23:15,29.97715721,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.478,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10219,05/12/2024 23:30,False,,05/12/2024 23:30,29.48359123,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.479,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10220,05/12/2024 23:45,False,,05/12/2024 23:45,34.77182858,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.48,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10221,06/12/2024 0:00,False,,06/12/2024 0:00,30.04784389,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.481,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10222,06/12/2024 0:15,False,,06/12/2024 0:15,32.8226808,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.482,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10223,06/12/2024 0:30,False,,06/12/2024 0:30,32.45538178,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.483,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10224,06/12/2024 0:45,False,,06/12/2024 0:45,31.431377,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.484,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10225,06/12/2024 1:00,False,,06/12/2024 1:00,33.0812923,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.485,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10226,06/12/2024 1:15,False,,06/12/2024 1:15,34.64890425,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.486,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10227,06/12/2024 1:30,False,,06/12/2024 1:30,29.25794681,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.487,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10228,06/12/2024 1:45,False,,06/12/2024 1:45,31.8150503,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.488,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10229,06/12/2024 2:00,False,,06/12/2024 2:00,33.28361091,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.489,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10230,06/12/2024 2:15,False,,06/12/2024 2:15,30.3377956,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.49,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10231,06/12/2024 2:30,False,,06/12/2024 2:30,33.51071714,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.491,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10232,06/12/2024 2:45,False,,06/12/2024 2:45,33.49998109,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.492,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10233,06/12/2024 3:00,False,,06/12/2024 3:00,31.21359648,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.493,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10234,06/12/2024 3:15,False,,06/12/2024 3:15,33.31553417,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.494,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10235,06/12/2024 3:30,False,,06/12/2024 3:30,30.3522385,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.495,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10236,06/12/2024 3:45,False,,06/12/2024 3:45,33.80412324,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.496,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10237,06/12/2024 4:00,False,,06/12/2024 4:00,32.15678011,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.497,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10238,06/12/2024 4:15,False,,06/12/2024 4:15,32.60171226,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.498,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10239,06/12/2024 4:30,False,,06/12/2024 4:30,30.18414675,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.499,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10240,06/12/2024 4:45,False,,06/12/2024 4:45,33.93290469,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.5,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10241,06/12/2024 5:00,False,,06/12/2024 5:00,34.5785109,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.501,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10242,06/12/2024 5:15,False,,06/12/2024 5:15,34.27344488,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.502,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10243,06/12/2024 5:30,False,,06/12/2024 5:30,33.5676659,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.503,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10244,06/12/2024 5:45,False,,06/12/2024 5:45,30.8051759,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.504,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10245,06/12/2024 6:00,False,,06/12/2024 6:00,31.55732415,0.0,0.0,0.290277469,90.0,,False,220.0,0.0,0.9,0.505,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10246,06/12/2024 6:15,False,,06/12/2024 6:15,30.29420065,19.62093877,0.0,0.295182703,90.0,,False,220.0,0.0,0.9,0.506,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,65.40312923
10247,06/12/2024 6:30,False,,06/12/2024 6:30,29.67616784,39.15785767,0.0,0.304972168,90.0,,False,220.0,0.0,0.9,0.507,False,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,130.5261922
10248,06/12/2024 6:45,True,06/12/2024 6:45,,32.53481331,58.5270966,0.201075047,0.26933518,90.0,,False,220.0,0.913977485,0.9,0.508,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,195.090322
10249,06/12/2024 7:00,False,,06/12/2024 7:00,34.28138441,77.64571353,0.0,0.288746608,90.0,,False,220.0,0.0,0.9,0.509,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,258.8190451
10250,06/12/2024 7:15,False,,06/12/2024 7:15,30.25890616,96.43183959,0.0,0.312854568,90.0,,False,220.0,0.0,0.9,0.51,False,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,321.4394653
10251,06/12/2024 7:30,True,06/12/2024 7:30,,34.68899077,114.8050297,0.552208049,0.203503814,90.0,,False,220.0,2.510036586,0.9,0.511,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,382.6834324
10252,06/12/2024 7:45,False,,06/12/2024 7:45,29.97875656,132.6866071,0.0,0.236675465,90.0,,False,220.0,0.0,0.9,0.512,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,442.2886902
10253,06/12/2024 8:00,False,,06/12/2024 8:00,33.36068007,150.0,0.0,0.274175465,90.0,,False,220.0,0.0,0.9,0.513,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,500.0
10254,06/12/2024 8:15,False,,06/12/2024 8:15,32.23830151,166.6710699,0.0,0.315843233,90.0,,False,220.0,0.0,0.9,0.514,False,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,555.570233
10255,06/12/2024 8:30,True,06/12/2024 8:30,,33.44550025,182.6284287,0.596454841,0.21238663,90.0,,False,220.0,2.711158368,0.9,0.515,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,608.761429
10256,06/12/2024 8:45,False,,06/12/2024 8:45,31.91243266,197.8037445,0.0,0.261837566,90.0,,False,220.0,0.0,0.9,0.516,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,659.3458151
10257,06/12/2024 9:00,False,,06/12/2024 9:00,31.03597454,212.1320344,0.0,0.314870574,90.0,,False,220.0,0.0,0.9,0.517,False,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,707.1067812
10258,06/12/2024 9:15,True,06/12/2024 9:15,,29.49922923,225.5519422,0.482735182,0.250574764,90.0,,False,220.0,2.194250828,0.9,0.518,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,751.8398075
10259,06/12/2024 9:30,False,,06/12/2024 9:30,33.17872306,238.0060021,0.0,0.310076265,90.0,,False,220.0,0.0,0.9,0.519,False,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,793.3533403
10260,06/12/2024 9:45,True,06/12/2024 9:45,,33.24412056,249.4408837,0.33303793,0.289177003,90.0,,False,220.0,1.513808774,0.9,0.52,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,831.4696123
10261,06/12/2024 10:00,False,,06/12/2024 10:00,33.51718127,259.8076211,0.0,0.354128909,90.0,,False,220.0,0.0,0.9,0.521,False,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,866.0254038
10262,06/12/2024 10:15,True,06/12/2024 10:15,,32.78533071,269.0618225,0.571987657,0.27839745,90.0,,False,220.0,2.599943894,0.9,0.522,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,896.8727415
10263,06/12/2024 10:30,False,,06/12/2024 10:30,34.95837496,277.1638598,0.0,0.347688415,90.0,,False,220.0,0.0,0.9,0.523,False,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,923.8795325
10264,06/12/2024 10:45,True,06/12/2024 10:45,,33.95737412,284.0790388,0.397573373,0.319314831,90.0,,False,220.0,1.807151697,0.9,0.524,False,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,946.9301295
10265,06/12/2024 11:00,True,06/12/2024 11:00,,34.482952,289.7777479,0.440874824,0.281540562,90.0,,False,220.0,2.003976472,0.9,0.525,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,965.9258263
10266,06/12/2024 11:15,False,,06/12/2024 11:15,29.32090816,294.2355841,0.0,0.355099458,90.0,,False,220.0,0.0,0.9,0.526,False,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,980.7852804
10267,06/12/2024 11:30,True,06/12/2024 11:30,,30.62335969,297.4334584,0.540881978,0.294237329,90.0,,False,220.0,2.458554445,0.9,0.527,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,991.4448614
10268,06/12/2024 11:45,False,,06/12/2024 11:45,34.07582092,299.357677,0.0,0.369076748,90.0,,False,220.0,0.0,0.9,0.528,False,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,997.8589232
10269,06/12/2024 12:00,True,06/12/2024 12:00,,33.05359075,300.0,0.299370042,0.369234237,90.0,,False,220.0,1.360772917,0.9,0.529,False,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,1000.0
10270,06/12/2024 12:15,True,06/12/2024 12:15,,32.75682189,299.357677,0.255282894,0.380252933,90.0,,False,220.0,1.16037679,0.9,0.53,False,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,997.8589232
10271,06/12/2024 12:30,True,06/12/2024 12:30,,33.81545983,297.4334584,0.506952948,0.327873061,90.0,,False,220.0,2.304331583,0.9,0.531,False,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,991.4448614
10272,06/12/2024 12:45,True,06/12/2024 12:45,,30.93475288,294.2355841,0.384031183,0.305424161,90.0,,False,220.0,1.745596284,0.9,0.532,False,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,980.7852804
10273,06/12/2024 13:00,False,,06/12/2024 13:00,30.52456109,289.7777479,0.0,0.377868598,90.0,,False,220.0,0.0,0.9,0.533,False,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,965.9258263
10274,06/12/2024 13:15,True,06/12/2024 13:15,,31.42562879,284.0790388,0.4516381,0.335978833,90.0,,False,220.0,2.052900454,0.9,0.534,False,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,946.9301295
10275,06/12/2024 13:30,True,06/12/2024 13:30,,31.08379564,277.1638598,0.530072629,0.272751641,90.0,,False,220.0,2.409421041,0.9,0.535,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,923.8795325
10276,06/12/2024 13:45,False,,06/12/2024 13:45,33.55123567,269.0618225,0.0,0.340017096,90.0,,False,220.0,0.0,0.9,0.536,False,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,896.8727415
10277,06/12/2024 14:00,True,06/12/2024 14:00,,33.54204934,259.8076211,0.316708796,0.325791802,90.0,,False,220.0,1.439585438,0.9,0.537,False,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,866.0254038
10278,06/12/2024 14:15,True,06/12/2024 14:15,,31.1049585,249.4408837,0.467129104,0.271369747,90.0,,False,220.0,2.123314107,0.9,0.538,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,831.4696123
10279,06/12/2024 14:30,False,,06/12/2024 14:30,31.54021049,238.0060021,0.0,0.330871248,90.0,,False,220.0,0.0,0.9,0.539,False,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,793.3533403
10280,06/12/2024 14:45,True,06/12/2024 14:45,,32.2796449,225.5519422,0.52855649,0.255120111,90.0,,False,220.0,2.402529498,0.9,0.54,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,751.8398075
10281,06/12/2024 15:00,False,,06/12/2024 15:00,29.42928223,212.1320344,0.0,0.30815312,90.0,,False,220.0,0.0,0.9,0.541,False,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,707.1067812
10282,06/12/2024 15:15,True,06/12/2024 15:15,,30.12259677,197.8037445,0.542105819,0.222077601,90.0,,False,220.0,2.464117358,0.9,0.542,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,659.3458151
10283,06/12/2024 15:30,False,,06/12/2024 15:30,30.1329192,182.6284287,0.0,0.267734708,90.0,,False,220.0,0.0,0.9,0.543,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,608.761429
10284,06/12/2024 15:45,False,,06/12/2024 15:45,29.87597152,166.6710699,0.0,0.309402476,90.0,,False,220.0,0.0,0.9,0.544,False,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,555.570233
10285,06/12/2024 16:00,True,06/12/2024 16:00,,30.39606299,150.0,0.507325342,0.22007114,90.0,,False,220.0,2.306024282,0.9,0.545,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,500.0
10286,06/12/2024 16:15,False,,06/12/2024 16:15,31.13405275,132.6866071,0.0,0.253242792,90.0,,False,220.0,0.0,0.9,0.546,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,442.2886902
10287,06/12/2024 16:30,False,,06/12/2024 16:30,32.12179185,114.8050297,0.0,0.281944049,90.0,,False,220.0,0.0,0.9,0.547,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,382.6834324
10288,06/12/2024 16:45,False,,06/12/2024 16:45,34.75415354,96.43183959,0.0,0.306052009,90.0,,False,220.0,0.0,0.9,0.548,False,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,321.4394653
10289,06/12/2024 17:00,True,06/12/2024 17:00,,29.49672973,77.64571353,0.529735247,0.2,90.0,,False,220.0,2.407887488,0.9,0.549,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,258.8190451
10290,06/12/2024 17:15,False,,06/12/2024 17:15,33.2828522,58.5270966,0.0,0.214631774,90.0,,False,220.0,0.0,0.9,0.55,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,195.090322
10291,06/12/2024 17:30,False,,06/12/2024 17:30,29.08698743,39.15785767,0.0,0.224421239,90.0,,False,220.0,0.0,0.9,0.551,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,130.5261922
10292,06/12/2024 17:45,False,,06/12/2024 17:45,33.95726803,19.62093877,0.0,0.229326473,90.0,,False,220.0,0.0,0.9,0.552,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,65.40312923
10293,06/12/2024 18:00,False,,06/12/2024 18:00,32.13982189,3.67e-14,0.0,0.229326473,90.0,,False,220.0,0.0,0.9,0.553,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,1.22e-13
10294,06/12/2024 18:15,False,,06/12/2024 18:15,32.0125505,0.0,0.0,0.229326473,90.0,,False,220.0,0.0,0.9,0.554,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10295,06/12/2024 18:30,False,,06/12/2024 18:30,33.76941096,0.0,0.0,0.229326473,90.0,,False,220.0,0.0,0.9,0.555,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10296,06/12/2024 18:45,False,,06/12/2024 18:45,31.73287896,0.0,0.0,0.229326473,90.0,,False,220.0,0.0,0.9,0.556,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10297,06/12/2024 19:00,False,,06/12/2024 19:00,29.37942368,0.0,0.0,0.229326473,90.0,,False,220.0,0.0,0.9,0.557,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10298,06/12/2024 19:15,False,,06/12/2024 19:15,30.42258788,0.0,0.0,0.229326473,90.0,,False,220.0,0.0,0.9,0.558,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10299,06/12/2024 19:30,False,,06/12/2024 19:30,34.15253456,0.0,0.0,0.229326473,90.0,,False,220.0,0.0,0.9,0.559,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10300,06/12/2024 19:45,False,,06/12/2024 19:45,33.67151644,0.0,0.0,0.229326473,90.0,,False,220.0,0.0,0.9,0.56,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10301,06/12/2024 20:00,False,,06/12/2024 20:00,34.97699906,0.0,0.0,0.229326473,90.0,,False,220.0,0.0,0.9,0.561,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10302,06/12/2024 20:15,False,,06/12/2024 20:15,34.35625595,0.0,0.0,0.229326473,90.0,,False,220.0,0.0,0.9,0.562,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10303,06/12/2024 20:30,False,,06/12/2024 20:30,33.11225388,0.0,0.0,0.229326473,90.0,,False,220.0,0.0,0.9,0.563,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10304,06/12/2024 20:45,False,,06/12/2024 20:45,33.87101845,0.0,0.0,0.229326473,90.0,,False,220.0,0.0,0.9,0.564,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10305,06/12/2024 21:00,False,,06/12/2024 21:00,31.86162305,0.0,0.0,0.229326473,90.0,,False,220.0,0.0,0.9,0.565,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10306,06/12/2024 21:15,False,,06/12/2024 21:15,34.00112012,0.0,0.0,0.229326473,90.0,,False,220.0,0.0,0.9,0.566,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10307,06/12/2024 21:30,False,,06/12/2024 21:30,34.67417301,0.0,0.0,0.229326473,90.0,,False,220.0,0.0,0.9,0.567,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10308,06/12/2024 21:45,False,,06/12/2024 21:45,30.82659015,0.0,0.0,0.229326473,90.0,,False,220.0,0.0,0.9,0.568,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10309,06/12/2024 22:00,False,,06/12/2024 22:00,29.87909055,0.0,0.0,0.229326473,90.0,,False,220.0,0.0,0.9,0.569,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10310,06/12/2024 22:15,False,,06/12/2024 22:15,31.64493688,0.0,0.0,0.229326473,90.0,,False,220.0,0.0,0.9,0.57,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10311,06/12/2024 22:30,False,,06/12/2024 22:30,34.88219401,0.0,0.0,0.229326473,90.0,,False,220.0,0.0,0.9,0.571,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10312,06/12/2024 22:45,False,,06/12/2024 22:45,31.68141185,0.0,0.0,0.229326473,90.0,,False,220.0,0.0,0.9,0.572,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10313,06/12/2024 23:00,False,,06/12/2024 23:00,31.59566949,0.0,0.0,0.229326473,90.0,,False,220.0,0.0,0.9,0.573,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10314,06/12/2024 23:15,False,,06/12/2024 23:15,33.01069888,0.0,0.0,0.229326473,90.0,,False,220.0,0.0,0.9,0.574,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10315,06/12/2024 23:30,False,,06/12/2024 23:30,30.5069602,0.0,0.0,0.229326473,90.0,,False,220.0,0.0,0.9,0.575,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10316,06/12/2024 23:45,False,,06/12/2024 23:45,31.51497587,0.0,0.0,0.229326473,90.0,,False,220.0,0.0,0.9,0.576,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
10317,07/12/2024 0:00,False,,07/12/2024 0:00,33.08121278,0.0,0.0,0.229326473,90.0,,False,220.0,0.0,0.9,0.577,True,False,Commercial,"12.0022, 8.5920",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,0.0
